id,Arus (Ampere),Tegangan (Volt)
1,10.6,125.7
2,90.3,31.0
3,66.7,31.5
4,88.0,34.1
5,189.3,146.4
6,172.5,120.1
7,21.2,13.2
8,9.5,123.6
9,155.8,171.2
10,130.5,179.2
11,159.9,25.0
12,193.2,144.8
13,97.1,121.1
14,62.9,187.4
15,137.9,26.5
16,116.7,132.3
17,168.5,82.5
18,190.8,25.5
19,134.6,61.4
20,42.4,57.9
21,23.1,145.0
22,200.0,116.6
23,197.6,155.6
24,192.5,51.4
25,156.8,157.2
26,66.4,26.4
27,49.3,129.5
28,78.1,25.3
29,8.5,135.9
30,163.8,78.6
31,57.9,170.7
32,72.5,193.3
33,120.1,160.7
34,169.3,62.6
35,15.0,19.3
36,181.4,177.9
37,75.4,118.6
38,28.0,3.9
39,146.0,96.2
40,67.0,53.6
41,174.8,190.5
42,70.7,147.8
43,34.3,149.9
44,142.9,23.2
45,46.9,130.9
46,45.1,114.5
47,124.0,98.8
48,181.0,140.1
49,33.8,72.2
50,83.9,38.1
51,29.1,74.6
52,53.7,116.8
53,143.2,107.9
54,58.9,150.8
55,40.9,104.2
56,20.4,83.3
57,142.2,54.3
58,107.0,95.2
59,163.8,8.4
60,18.8,150.4
61,143.5,192.7
62,96.7,138.7
63,80.9,34.7
64,169.6,67.8
65,80.0,179.2
66,19.0,43.1
67,2.2,148.7
68,40.0,45.7
69,18.1,144.4
70,34.7,131.7
71,62.4,177.4
72,143.3,100.3
73,27.9,165.5
74,51.7,2.6
75,101.8,132.9
76,168.3,50.8
77,194.0,59.0
78,45.5,91.8
79,126.0,190.2
80,117.5,85.9
81,68.2,162.8
82,166.1,67.2
83,183.0,103.4
84,190.3,49.4
85,88.5,180.6
86,51.3,171.6
87,20.8,110.9
88,70.7,22.5
89,88.2,14.5
90,175.5,131.6
91,19.9,191.1
92,114.9,139.3
93,50.0,73.3
94,81.4,183.4
95,85.1,162.9
96,150.2,194.2
97,13.6,101.1
98,26.4,97.5
99,84.9,151.6
100,179.4,141.4
101,116.7,167.5
102,130.3,4.6
103,149.0,123.6
104,49.7,182.7
105,40.8,108.4
106,191.8,130.8
107,17.8,120.6
108,57.8,77.3
109,188.5,156.4
110,101.4,191.5
111,52.4,161.5
112,88.3,141.8
113,22.2,17.4
114,38.9,129.1
115,91.0,52.8
116,25.6,196.7
117,132.8,190.5
118,40.1,27.8
119,173.2,56.0
120,129.6,136.4
121,145.8,39.5
122,97.9,10.0
123,108.6,101.3
124,57.3,104.6
125,169.2,94.4
126,187.4,118.3
127,42.9,40.1
128,83.0,16.1
129,98.5,117.5
130,106.3,189.4
131,0.0,124.2
132,97.6,22.1
133,7.5,120.5
134,107.6,32.6
135,118.4,82.9
136,104.5,64.6
137,6.2,15.6
138,169.5,89.9
139,69.8,148.3
140,195.9,190.8
141,133.3,143.5
142,41.2,33.7
143,96.7,157.1
144,183.8,74.6
145,174.0,72.2
146,112.2,149.5
147,99.4,176.9
148,9.6,46.1
149,134.6,106.0
150,87.1,124.0
151,69.6,173.5
152,93.6,145.9
153,120.3,118.7
154,104.8,63.1
155,154.0,183.4
156,14.3,74.1
157,8.1,5.7
158,10.7,35.1
159,3.9,130.8
160,1.4,64.5
161,100.7,114.3
162,127.1,186.6
163,129.3,184.0
164,50.1,99.1
165,152.8,165.8
166,69.1,34.0
167,97.1,155.9
168,173.4,61.0
169,88.6,154.3
170,133.1,173.0
171,166.6,192.8
172,136.1,136.8
173,148.3,152.5
174,188.3,150.7
175,99.5,184.0
176,31.9,192.0
177,195.5,67.8
178,88.7,22.4
179,27.0,115.1
180,171.8,4.5
181,116.1,117.5
182,103.7,157.7
183,99.6,136.5
184,103.3,116.2
185,56.8,11.6
186,49.7,144.6
187,21.5,23.2
188,46.3,165.8
189,80.4,19.3
190,116.4,114.2
191,182.3,5.4
192,100.7,31.0
193,134.9,178.9
194,154.0,170.8
195,115.4,7.5
196,5.2,161.9
197,139.8,173.0
198,168.4,30.7
199,39.9,38.4
200,124.4,14.5
201,101.1,120.2
202,77.4,172.8
203,133.0,23.1
204,162.5,104.9
205,15.3,107.5
206,6.5,49.4
207,83.0,46.1
208,53.4,143.5
209,162.6,186.9
210,28.9,171.4
211,64.6,126.6
212,104.1,46.9
213,104.5,102.1
214,125.7,53.3
215,143.2,99.1
216,147.2,95.7
217,70.6,120.5
218,54.7,134.7
219,161.9,192.5
220,146.9,197.6
221,110.1,164.6
222,172.5,163.0
223,140.2,148.6
224,151.3,56.8
225,123.0,52.8
226,103.0,83.6
227,154.7,113.9
228,57.3,73.1
229,83.8,193.3
230,11.6,48.8
231,37.0,55.6
232,176.6,176.7
233,58.9,175.9
234,0.2,61.1
235,183.5,50.5
236,136.2,137.2
237,10.6,74.3
238,193.1,150.4
239,121.7,135.0
240,158.4,11.6
241,126.3,87.2
242,152.4,167.6
243,165.6,133.6
244,78.6,15.4
245,192.8,78.0
246,93.0,137.4
247,107.2,166.7
248,81.1,2.9
249,17.0,83.5
250,144.2,88.3
251,176.3,191.0
252,149.4,110.8
253,149.7,128.7
254,173.3,42.2
255,195.3,137.9
256,161.3,139.7
257,189.8,163.2
258,74.3,182.0
259,68.3,186.1
260,129.6,5.1
261,153.7,116.4
262,16.3,171.3
263,76.9,29.3
264,25.3,176.9
265,184.5,166.6
266,147.8,121.0
267,54.4,107.8
268,172.4,114.8
269,55.1,43.5
270,100.0,155.3
271,39.6,106.5
272,89.8,150.3
273,183.9,69.1
274,52.5,130.7
275,149.3,24.3
276,69.5,135.4
277,40.0,66.7
278,45.1,71.7
279,27.2,90.9
280,54.5,15.8
281,104.7,138.6
282,180.9,93.6
283,149.4,27.3
284,61.7,196.9
285,178.2,121.8
286,165.6,7.3
287,194.0,69.0
288,8.2,92.5
289,180.6,108.4
290,183.3,165.5
291,26.9,153.6
292,128.6,145.8
293,4.3,174.2
294,23.5,8.3
295,67.4,105.9
296,158.0,157.3
297,20.0,165.8
298,185.6,54.9
299,137.0,99.9
300,33.5,13.3
301,182.3,47.7
302,195.7,174.6
303,90.6,70.0
304,1.0,94.8
305,99.8,140.0
306,92.6,110.1
307,17.2,86.4
308,189.0,152.0
309,33.1,184.6
310,72.5,173.7
311,127.3,32.3
312,15.1,23.8
313,157.8,191.2
314,24.7,192.4
315,59.3,96.8
316,119.3,164.3
317,16.5,160.2
318,183.5,55.7
319,106.8,97.8
320,131.5,72.1
321,153.8,133.1
322,78.8,127.2
323,11.3,166.7
324,9.5,2.4
325,130.0,128.3
326,188.6,156.0
327,104.6,120.9
328,89.7,129.9
329,187.5,174.5
330,153.9,87.9
331,17.4,50.9
332,93.0,141.2
333,58.4,61.7
334,12.1,127.9
335,127.5,60.2
336,127.2,16.0
337,93.9,181.7
338,59.7,187.1
339,73.7,52.2
340,160.7,116.0
341,75.1,54.1
342,96.0,13.9
343,102.7,145.6
344,136.1,198.4
345,51.0,75.3
346,104.1,158.5
347,51.0,154.5
348,43.0,161.4
349,36.5,18.6
350,185.4,5.2
351,18.7,176.2
352,36.6,196.3
353,3.8,19.8
354,159.7,156.9
355,45.9,38.9
356,172.9,193.3
357,99.8,93.9
358,64.2,135.1
359,176.2,120.1
360,197.7,117.8
361,83.0,99.0
362,193.5,89.3
363,66.6,37.4
364,51.0,108.1
365,15.7,16.8
366,65.9,43.5
367,18.2,128.3
368,31.7,182.5
369,72.9,182.9
370,65.4,162.2
371,65.4,144.1
372,189.6,57.7
373,111.9,118.5
374,59.3,183.6
375,70.8,30.6
376,129.6,137.8
377,34.0,149.8
378,162.2,140.9
379,164.8,43.9
380,133.6,101.0
381,105.8,173.9
382,157.4,34.1
383,176.5,80.7
384,137.2,191.1
385,114.6,3.9
386,72.9,57.6
387,65.4,11.1
388,143.5,186.0
389,88.7,182.7
390,73.9,166.0
391,31.4,51.2
392,147.7,34.1
393,154.8,66.5
394,64.9,171.2
395,151.3,175.4
396,82.1,75.2
397,142.2,190.5
398,70.2,133.7
399,187.7,66.0
400,51.6,126.5
401,133.3,176.4
402,128.0,185.5
403,76.1,139.1
404,194.5,162.3
405,14.5,22.2
406,158.3,119.5
407,188.4,114.9
408,97.2,147.4
409,75.4,66.5
410,168.0,159.9
411,37.6,85.0
412,50.7,111.8
413,134.0,91.3
414,133.4,166.1
415,136.0,181.1
416,80.7,129.4
417,121.2,38.6
418,50.1,86.6
419,66.1,164.9
420,76.6,187.1
421,119.3,184.6
422,154.1,137.5
423,117.3,60.9
424,152.1,65.6
425,65.4,124.0
426,173.4,65.9
427,30.0,108.4
428,88.1,80.7
429,13.6,90.6
430,73.9,85.3
431,116.9,154.3
432,86.0,114.3
433,50.4,92.3
434,165.8,81.8
435,70.7,119.6
436,111.4,63.1
437,113.3,77.8
438,65.5,85.8
439,172.1,131.0
440,14.1,106.1
441,83.4,68.9
442,128.8,31.9
443,6.0,84.9
444,144.9,156.2
445,10.3,119.6
446,82.6,121.0
447,57.4,58.2
448,103.6,165.5
449,5.1,8.0
450,43.8,185.7
451,22.6,104.2
452,55.2,0.8
453,12.8,164.1
454,62.9,162.8
455,66.0,95.8
456,122.3,153.1
457,10.4,168.0
458,16.6,151.4
459,120.7,95.8
460,79.0,97.2
461,43.6,40.7
462,50.8,153.9
463,199.2,23.2
464,130.3,28.8
465,98.6,165.4
466,168.7,3.5
467,39.5,4.3
468,192.9,54.3
469,143.6,29.3
470,186.2,171.5
471,146.8,167.2
472,47.3,21.2
473,85.6,2.9
474,90.6,130.7
475,123.8,31.0
476,199.5,179.7
477,63.1,154.9
478,165.5,45.3
479,194.0,198.5
480,45.5,195.2
481,85.3,145.0
482,168.2,130.3
483,102.9,93.7
484,7.3,133.8
485,40.9,195.3
486,13.7,131.8
487,157.2,196.0
488,143.7,194.5
489,122.5,7.7
490,20.2,184.9
491,97.4,38.7
492,19.1,199.2
493,65.8,191.4
494,106.3,87.4
495,33.6,101.3
496,72.3,195.9
497,182.8,130.8
498,183.9,38.4
499,199.1,92.1
500,22.5,44.8
501,51.1,109.6
502,125.1,71.2
503,126.5,62.2
504,106.0,131.7
505,47.7,13.3
