id,Arus (Ampere),Tegangan (Volt)
1,7.4,17.4
2,64.9,32.1
3,7.3,190.2
4,112.8,183.5
5,150.0,48.7
6,44.9,170.6
7,88.8,79.8
8,77.7,144.6
9,146.1,139.0
10,171.0,28.5
11,110.6,171.4
12,53.9,59.0
13,58.6,74.0
14,154.7,109.9
15,11.7,17.8
16,122.3,4.0
17,67.3,107.1
18,144.8,178.9
19,113.5,166.6
20,134.7,132.6
21,77.6,187.8
22,153.4,13.1
23,11.6,174.0
24,65.7,179.9
25,166.8,25.3
26,163.9,89.7
27,140.5,140.8
28,77.9,35.0
29,14.0,164.2
30,18.5,149.2
31,7.3,184.6
32,41.3,116.8
33,126.2,182.6
34,54.4,66.1
35,197.0,41.7
36,147.0,24.8
37,171.9,101.7
38,13.0,176.1
39,128.8,136.3
40,106.7,115.6
41,185.9,35.9
42,28.3,139.3
43,33.9,11.8
44,180.3,90.6
45,10.1,86.1
46,164.4,91.9
47,44.5,121.3
48,90.7,169.6
49,154.1,156.8
50,112.3,84.1
51,23.7,91.7
52,151.2,159.1
53,179.3,13.2
54,7.1,37.6
55,116.4,129.9
56,165.6,198.9
57,49.3,78.4
58,116.8,7.7
59,79.9,83.9
60,128.1,121.8
61,105.4,149.1
62,36.7,39.0
63,53.0,189.4
64,192.6,39.6
65,139.9,107.1
66,98.0,50.0
67,171.0,179.1
68,166.4,82.8
69,163.9,43.6
70,132.8,186.1
71,164.1,26.8
72,13.4,118.0
73,65.2,28.9
74,138.4,41.5
75,165.6,22.1
76,177.2,49.8
77,164.5,50.1
78,68.5,99.8
79,131.7,15.5
80,131.4,99.1
81,100.8,100.9
82,143.3,31.2
83,141.0,23.0
84,98.0,126.8
85,53.7,75.8
86,84.3,153.4
87,165.4,0.5
88,76.3,83.5
89,63.8,106.8
90,169.1,120.1
91,180.6,32.9
92,43.1,56.6
93,147.7,27.8
94,186.3,1.4
95,106.5,185.4
96,38.0,38.8
97,82.7,156.6
98,32.8,102.9
99,108.0,59.5
100,140.9,88.4
101,18.9,3.6
102,162.6,83.0
103,38.3,50.7
104,32.0,182.3
105,131.2,113.1
106,46.2,186.5
107,117.1,174.9
108,16.2,4.0
109,186.1,28.5
110,21.1,199.1
111,63.5,69.0
112,2.5,148.7
113,13.9,80.7
114,137.3,110.0
115,154.6,8.5
116,122.3,99.7
117,156.8,49.6
118,65.0,59.2
119,41.6,187.0
120,69.7,190.4
121,94.1,149.4
122,5.4,166.7
123,99.0,183.7
124,26.4,173.9
125,76.5,6.4
126,63.0,52.4
127,94.8,170.7
128,102.3,60.2
129,191.3,121.3
130,137.0,36.1
131,7.3,100.3
132,175.8,26.4
133,193.8,69.2
134,132.7,55.2
135,181.0,157.8
136,7.9,196.2
137,141.6,148.0
138,150.6,108.5
139,195.5,175.2
140,184.4,91.1
141,63.4,181.1
142,117.1,128.4
143,0.9,179.8
144,89.0,78.2
145,27.7,89.6
146,79.2,34.1
147,47.4,62.3
148,87.4,53.2
149,169.4,59.6
150,81.0,13.9
151,94.0,74.5
152,120.3,170.3
153,89.1,198.7
154,119.5,5.8
155,134.1,99.0
156,150.3,118.1
157,160.4,121.0
158,55.0,80.8
159,92.9,3.3
160,112.8,53.0
161,9.9,17.4
162,131.9,182.0
163,79.4,39.5
164,43.6,40.1
165,12.9,78.6
166,82.7,132.6
167,34.1,9.0
168,31.9,128.5
169,162.3,14.0
170,54.6,118.7
171,49.5,139.9
172,43.4,37.0
173,171.1,97.2
174,175.4,133.7
175,130.0,112.8
176,200.0,59.0
177,54.5,115.7
178,190.6,198.0
179,146.2,134.2
180,91.4,65.1
181,131.6,11.5
182,199.6,136.1
183,194.7,23.2
184,91.8,138.9
185,82.6,55.3
186,95.2,128.7
187,59.3,170.3
188,14.9,145.0
189,122.5,123.7
